patch,map,agent,win_rate,total_games,wins
10.07,Pearl,phoenix,0.0,2,0
10.07,Split,neon,100.0,4,4
10.07,Split,skye,66.67,12,8
10.07,Split,vyse,66.67,6,4
10.07,Split,astra,60.0,30,18
10.07,Split,sage,60.0,10,6
10.07,Split,raze,56.0,50,28
10.07,Split,fade,54.55,22,12
10.07,Split,viper,51.06,94,48
10.07,Split,yoru,50.0,60,30
10.07,Split,deadlock,50.0,8,4
10.07,Split,omen,46.15,78,36
10.07,Split,tejo,45.95,74,34
10.07,Split,breach,44.12,68,30
10.07,Split,jett,40.0,20,8
10.07,Split,cypher,0.0,4,0
10.08,Ascent,vyse,100.0,2,2
10.08,Ascent,killjoy,66.67,6,4
10.08,Ascent,jett,58.33,24,14
10.08,Ascent,tejo,57.14,14,8
10.08,Ascent,omen,50.0,32,16
10.08,Ascent,kayo,50.0,12,6
10.08,Ascent,fade,50.0,4,2
10.08,Ascent,sova,44.44,18,8
10.08,Ascent,cypher,44.44,18,8
10.08,Ascent,deadlock,42.86,14,6
10.08,Ascent,yoru,42.86,14,6
10.08,Ascent,chamber,0.0,2,0
10.08,Fracture,kayo,100.0,2,2
10.08,Fracture,neon,62.5,16,10
10.08,Fracture,tejo,55.56,18,10
10.08,Fracture,breach,54.55,22,12
10.08,Fracture,cypher,50.0,20,10
10.08,Fracture,brimstone,50.0,24,12
10.08,Fracture,vyse,50.0,4,2
10.08,Fracture,jett,50.0,4,2
10.08,Fracture,raze,0.0,4,0
10.08,Fracture,fade,0.0,4,0
10.08,Fracture,yoru,0.0,2,0
10.08,Haven,chamber,100.0,2,2
10.08,Haven,neon,75.0,8,6
10.08,Haven,deadlock,66.67,6,4
10.08,Haven,cypher,55.56,18,10
10.08,Haven,omen,50.0,20,10
10.08,Haven,sova,50.0,16,8
10.08,Haven,yoru,50.0,8,4
10.08,Haven,iso,50.0,4,2
10.08,Haven,tejo,50.0,4,2
10.08,Haven,breach,25.0,8,2
10.08,Haven,killjoy,0.0,2,0
10.08,Haven,jett,0.0,4,0
10.08,Icebox,sage,66.67,6,4
10.08,Icebox,omen,62.5,16,10
10.08,Icebox,tejo,60.0,20,12
10.08,Icebox,sova,50.0,12,6
10.08,Icebox,viper,50.0,40,20
10.08,Icebox,killjoy,50.0,40,20
10.08,Icebox,neon,50.0,8,4
10.08,Icebox,gekko,46.15,26,12
10.08,Icebox,jett,44.44,18,8
10.08,Icebox,kayo,28.57,14,4
10.08,Lotus,killjoy,100.0,2,2
10.08,Lotus,jett,100.0,2,2
10.08,Lotus,yoru,75.0,8,6
10.08,Lotus,viper,66.67,6,4
10.08,Lotus,breach,66.67,6,4
10.08,Lotus,vyse,66.67,6,4
10.08,Lotus,fade,60.0,10,6
10.08,Lotus,omen,50.0,20,10
10.08,Lotus,raze,50.0,12,6
10.08,Lotus,tejo,50.0,8,4
10.08,Lotus,cypher,25.0,8,2
10.08,Lotus,deadlock,0.0,6,0
10.08,Lotus,sova,0.0,2,0
10.08,Lotus,iso,0.0,2,0
10.08,Lotus,waylay,0.0,2,0
10.08,Pearl,raze,100.0,2,2
10.08,Pearl,yoru,100.0,2,2
10.08,Pearl,fade,100.0,2,2
10.08,Pearl,astra,50.0,8,4
10.08,Pearl,vyse,50.0,8,4
10.08,Pearl,sova,33.33,6,2
10.08,Pearl,neon,33.33,6,2
10.08,Pearl,killjoy,33.33,6,2
10.08,Split,breach,100.0,4,4
10.08,Split,cypher,100.0,2,2
10.08,Split,sage,100.0,2,2
10.08,Split,deadlock,66.67,6,4
10.08,Split,astra,62.5,16,10
10.08,Split,raze,53.33,30,16
10.08,Split,tejo,50.0,12,6
10.08,Split,neon,50.0,4,2
10.08,Split,vyse,50.0,4,2
10.08,Split,fade,43.75,32,14
10.08,Split,viper,43.75,32,14
10.08,Split,omen,42.86,28,12
10.08,Split,yoru,42.86,28,12
10.08,Sunset,sage,100.0,4,4
10.08,Sunset,raze,100.0,4,4
10.08,Sunset,yoru,100.0,4,4
10.08,Sunset,deadlock,66.67,6,4
10.08,Sunset,viper,66.67,6,4
10.08,Sunset,sova,55.56,18,10
10.08,Sunset,omen,55.56,18,10
10.08,Sunset,cypher,42.86,14,6
10.08,Sunset,neon,28.57,14,4
10.08,Sunset,vyse,0.0,2,0
10.08,Sunset,breach,0.0,6,0
10.08,Sunset,fade,0.0,2,0
10.08,Sunset,clove,0.0,2,0
10.10,Ascent,chamber,100.0,5,5
10.10,Ascent,killjoy,100.0,2,2
10.10,Ascent,yoru,75.0,8,6
10.10,Ascent,vyse,71.43,7,5
10.10,Ascent,sova,61.54,13,8
10.10,Ascent,omen,50.0,18,9
10.10,Ascent,jett,50.0,6,3
10.10,Ascent,kayo,37.5,8,3
10.10,Ascent,viper,33.33,3,1
10.10,Ascent,fade,33.33,3,1
10.10,Ascent,deadlock,33.33,3,1
10.10,Ascent,cypher,16.67,6,1
10.10,Ascent,waylay,0.0,2,0
10.10,Ascent,tejo,0.0,2,0
10.10,Ascent,raze,0.0,2,0
10.10,Ascent,gekko,0.0,2,0
10.10,Haven,killjoy,100.0,7,7
10.10,Haven,phoenix,100.0,1,1
10.10,Haven,neon,90.0,10,9
10.10,Haven,viper,77.78,9,7
10.10,Haven,sova,52.94,17,9
10.10,Haven,omen,50.0,20,10
10.10,Haven,vyse,33.33,3,1
10.10,Haven,fade,33.33,3,1
10.10,Haven,yoru,30.0,10,3
10.10,Haven,cypher,20.0,10,2
10.10,Haven,jett,0.0,2,0
10.10,Haven,breach,0.0,4,0
10.10,Haven,iso,0.0,4,0
10.10,Icebox,chamber,100.0,2,2
10.10,Icebox,sage,100.0,8,8
10.10,Icebox,harbor,57.14,7,4
10.10,Icebox,sova,56.67,30,17
