patch,agent,win_rate,total_games,wins
8.0,chamber,100.0,1,1
8.0,yoru,100.0,1,1
8.0,sage,83.33,6,5
8.0,fade,66.67,6,4
8.0,skye,63.64,11,7
8.0,astra,60.0,5,3
8.0,cypher,58.33,12,7
8.0,omen,52.17,23,12
8.0,raze,50.0,18,9
8.0,jett,50.0,18,9
8.0,harbor,50.0,6,3
8.0,breach,50.0,2,1
8.0,viper,47.06,17,8
8.0,killjoy,45.0,20,9
8.0,kayo,40.0,10,4
8.0,sova,33.33,18,6
8.0,deadlock,33.33,3,1
8.0,reyna,0.0,2,0
8.0,phoenix,0.0,1,0
8.01,yoru,100.0,3,3
8.01,breach,100.0,1,1
8.01,neon,100.0,1,1
8.01,skye,100.0,1,1
8.01,omen,50.0,4,2
8.01,cypher,50.0,2,1
8.01,harbor,50.0,4,2
8.01,killjoy,50.0,6,3
8.01,viper,50.0,6,3
8.01,sova,50.0,4,2
8.01,raze,33.33,3,1
8.01,kayo,0.0,1,0
8.01,gekko,0.0,1,0
8.01,jett,0.0,2,0
8.01,fade,0.0,1,0
8.02,reyna,80.0,5,4
8.02,sage,75.0,12,9
8.02,gekko,54.35,46,25
8.02,viper,53.88,206,111
8.02,kayo,53.66,82,44
8.02,fade,51.72,58,30
8.02,jett,50.89,112,57
8.02,raze,50.34,147,74
8.02,neon,50.0,10,5
8.02,omen,49.69,161,80
8.02,killjoy,49.56,113,56
8.02,cypher,49.47,95,47
8.02,yoru,48.48,33,16
8.02,brimstone,48.0,25,12
8.02,sova,47.75,111,53
8.02,astra,44.83,29,13
8.02,skye,44.0,75,33
8.02,chamber,40.0,10,4
8.02,breach,39.47,38,15
8.02,harbor,39.29,28,11
8.02,phoenix,25.0,4,1
8.03,iso,75.0,4,3
8.03,sage,60.0,10,6
8.03,sova,53.76,93,50
8.03,kayo,53.73,67,36
8.03,killjoy,53.41,88,47
8.03,omen,53.3,197,105
8.03,viper,52.34,214,112
8.03,cypher,52.24,134,70
8.03,raze,52.0,175,91
8.03,harbor,50.0,20,10
8.03,gekko,47.83,46,22
8.03,yoru,47.73,44,21
8.03,fade,46.67,60,28
8.03,skye,46.07,89,41
8.03,brimstone,45.83,24,11
8.03,jett,45.83,96,44
8.03,phoenix,40.0,15,6
8.03,neon,40.0,5,2
8.03,breach,37.74,53,20
8.03,reyna,37.5,8,3
8.03,chamber,33.33,3,1
8.03,deadlock,25.0,4,1
8.03,astra,23.81,21,5
8.04,brimstone,70.0,10,7
8.04,gekko,63.04,46,29
8.04,fade,62.5,40,25
8.04,killjoy,58.73,63,37
8.04,harbor,57.14,7,4
8.04,sage,54.55,11,6
8.04,viper,52.82,142,75
8.04,raze,51.3,115,59
8.04,yoru,50.0,18,9
8.04,astra,50.0,16,8
8.04,jett,48.65,74,36
8.04,omen,48.59,142,69
8.04,kayo,47.37,57,27
8.04,skye,47.27,55,26
8.04,sova,44.83,58,26
8.04,neon,40.0,10,4
8.04,cypher,37.93,58,22
8.04,breach,34.78,23,8
8.04,phoenix,33.33,6,2
8.04,reyna,25.0,4,1
8.04,chamber,0.0,3,0
8.04,deadlock,0.0,1,0
8.04,iso,0.0,1,0
8.05,astra,80.0,5,4
8.05,neon,71.43,14,10
8.05,sage,68.0,25,17
8.05,reyna,66.67,6,4
8.05,chamber,60.0,15,9
8.05,yoru,54.35,46,25
8.05,fade,52.31,65,34
8.05,gekko,52.17,92,48
8.05,brimstone,51.85,27,14
8.05,omen,50.48,208,105
8.05,viper,50.19,257,129
8.05,raze,50.0,170,85
8.05,harbor,50.0,26,13
8.05,cypher,49.59,121,60
8.05,killjoy,48.55,138,67
8.05,sova,48.09,131,63
8.05,jett,47.83,115,55
8.05,skye,47.46,59,28
8.05,kayo,45.45,110,50
8.05,breach,44.12,34,15
8.05,phoenix,38.46,13,5
8.05,deadlock,0.0,3,0
8.07,yoru,58.33,60,35
8.07,breach,57.14,84,48
8.07,sova,53.43,204,109
8.07,fade,52.21,113,59
8.07,sage,52.0,50,26
8.07,cypher,51.83,218,113
8.07,omen,51.16,344,176
8.07,jett,50.52,194,98
8.07,killjoy,50.0,208,104
8.07,reyna,50.0,10,5
8.07,raze,49.42,346,171
8.07,brimstone,48.78,82,40
8.07,kayo,48.22,197,95
8.07,viper,48.21,419,202
8.07,skye,48.09,131,63
8.07,gekko,46.96,181,85
8.07,harbor,46.15,39,18
8.07,astra,46.15,26,12
8.07,chamber,40.0,20,8
8.07,neon,35.29,17,6
8.07,deadlock,33.33,6,2
8.07,phoenix,0.0,1,0
8.08,phoenix,100.0,1,1
8.08,brimstone,100.0,1,1
8.08,sage,83.33,6,5
8.08,gekko,72.73,11,8
8.08,viper,64.71,17,11
8.08,yoru,60.0,5,3
8.08,jett,55.56,9,5
8.08,kayo,52.94,17,9
8.08,clove,50.0,2,1
8.08,skye,50.0,2,1
8.08,fade,50.0,4,2
8.08,sova,46.67,15,7
8.08,killjoy,46.67,15,7
8.08,omen,43.48,23,10
8.08,raze,37.5,8,3
8.08,breach,33.33,3,1
8.08,harbor,33.33,3,1
8.08,reyna,33.33,3,1
8.08,cypher,30.0,10,3
8.08,neon,0.0,2,0
8.08,deadlock,0.0,3,0
8.09,reyna,75.0,4,3
8.09,astra,68.75,16,11
8.09,neon,66.67,3,2
8.09,kayo,57.35,68,39
8.09,brimstone,55.56,27,15
8.09,sova,55.06,89,49
8.09,jett,54.32,81,44
8.09,killjoy,52.87,87,46
8.09,fade,51.72,58,30
8.09,viper,50.33,151,76
8.09,sage,50.0,12,6
8.09,clove,50.0,2,1
8.09,raze,49.58,119,59
8.09,omen,48.48,132,64
8.09,breach,48.39,31,15
8.09,cypher,46.88,64,30
8.09,yoru,45.83,24,11
8.09,gekko,40.62,64,26
8.09,chamber,40.0,5,2
8.09,skye,39.53,43,17
8.09,harbor,20.0,20,4
8.10,clove,100.0,7,7
8.10,phoenix,100.0,1,1
8.10,iso,100.0,2,2
8.10,deadlock,87.5,8,7
8.10,fade,67.5,40,27
8.10,neon,63.64,11,7
8.10,yoru,63.64,22,14
8.10,gekko,60.47,43,26
8.10,astra,57.14,7,4
8.10,breach,52.08,48,25
8.10,killjoy,51.72,58,30
8.10,cypher,51.09,92,47
8.10,omen,49.64,137,68
8.10,viper,49.18,61,30
8.10,raze,48.94,94,46
8.10,sova,46.58,73,34
8.10,brimstone,44.44,18,8
8.10,sage,42.86,7,3
8.10,jett,40.54,74,30
8.10,kayo,38.33,60,23
8.10,skye,35.71,28,10
8.10,chamber,25.0,4,1
8.10,harbor,0.0,3,0
8.10,reyna,0.0,2,0
8.11,deadlock,100.0,4,4
8.11,sage,77.78,9,7
8.11,neon,66.67,45,30
8.11,skye,58.33,24,14
8.11,clove,57.14,14,8
8.11,cypher,56.98,86,49
8.11,jett,54.84,62,34
8.11,harbor,54.55,11,6
8.11,fade,52.5,40,21
8.11,omen,50.72,138,70
8.11,sova,50.56,89,45
8.11,reyna,50.0,2,1
8.11,astra,50.0,8,4
8.11,kayo,48.21,56,27
8.11,breach,48.08,52,25
8.11,iso,47.83,23,11
8.11,killjoy,47.56,82,39
8.11,viper,46.27,67,31
8.11,yoru,44.44,18,8
8.11,brimstone,42.86,14,6
8.11,raze,41.94,62,26
8.11,gekko,32.76,58,19
8.11,chamber,0.0,6,0
9.0,astra,61.54,26,16
9.0,clove,58.33,24,14
9.0,phoenix,57.14,7,4
9.0,viper,56.65,233,132
9.0,sage,53.85,39,21
9.0,skye,53.52,71,38
9.0,raze,51.95,231,120
9.0,gekko,51.92,156,81
9.0,killjoy,51.52,231,119
9.0,brimstone,50.88,57,29
9.0,sova,50.77,323,164
9.0,jett,50.0,248,124
9.0,iso,50.0,30,15
9.0,fade,49.4,168,83
9.0,breach,49.24,197,97
9.0,omen,48.99,496,243
9.0,neon,48.43,159,77
9.0,cypher,47.13,314,148
9.0,kayo,46.86,207,97
9.0,harbor,44.12,34,15
9.0,yoru,42.86,42,18
9.0,deadlock,37.5,24,9
9.0,chamber,27.27,11,3
9.0,reyna,25.0,12,3
9.01,sage,100.0,2,2
9.01,viper,63.64,11,7
9.01,jett,62.5,16,10
9.01,killjoy,57.89,19,11
9.01,sova,55.0,20,11
9.01,kayo,52.94,17,9
9.01,omen,50.0,38,19
9.01,gekko,50.0,10,5
9.01,skye,50.0,4,2
9.01,brimstone,50.0,2,1
9.01,astra,50.0,2,1
9.01,deadlock,50.0,2,1
9.01,yoru,50.0,2,1
9.01,raze,47.62,21,10
9.01,cypher,41.67,24,10
9.01,fade,40.0,5,2
9.01,breach,38.1,21,8
9.01,neon,0.0,3,0
9.01,harbor,0.0,1,0
9.02,iso,100.0,4,4
9.02,harbor,65.0,20,13
9.02,chamber,60.0,5,3
9.02,neon,58.82,51,30
9.02,clove,55.56,9,5
9.02,kayo,53.66,41,22
9.02,omen,52.78,144,76
9.02,fade,51.9,79,41
9.02,sova,51.56,128,66
9.02,cypher,50.0,100,50
9.02,jett,50.0,68,34
9.02,gekko,49.21,63,31
9.02,astra,48.48,33,16
9.02,killjoy,48.19,83,40
9.02,yoru,47.62,21,10
9.02,viper,47.5,120,57
9.02,skye,47.06,17,8
9.02,raze,46.81,94,44
9.02,breach,44.44,54,24
9.02,brimstone,41.67,24,10
9.02,deadlock,40.0,10,4
9.02,sage,20.0,10,2
9.02,phoenix,0.0,2,0
9.04,sage,100.0,1,1
9.04,deadlock,91.67,12,11
9.04,clove,83.33,6,5
9.04,harbor,75.0,8,6
9.04,skye,61.54,13,8
9.04,yoru,61.11,18,11
9.04,brimstone,56.25,16,9
9.04,cypher,56.18,89,50
9.04,neon,55.32,47,26
9.04,fade,51.72,29,15
9.04,sova,50.62,81,41
9.04,iso,50.0,2,1
9.04,reyna,50.0,2,1
9.04,astra,50.0,8,4
9.04,omen,48.11,106,51
9.04,breach,45.83,48,22
9.04,viper,45.83,48,22
9.04,jett,44.68,47,21
9.04,killjoy,43.48,46,20
9.04,kayo,42.86,35,15
9.04,raze,42.86,35,15
9.04,gekko,34.48,29,10
9.04,phoenix,0.0,4,0
9.05,clove,100.0,2,2
9.05,skye,75.0,4,3
9.05,breach,66.67,6,4
9.05,jett,66.67,3,2
9.05,raze,61.54,13,8
9.05,cypher,60.0,10,6
9.05,kayo,60.0,5,3
9.05,killjoy,50.0,6,3
9.05,gekko,50.0,6,3
9.05,brimstone,50.0,6,3
9.05,viper,45.45,11,5
9.05,sova,42.86,7,3
9.05,omen,40.0,10,4
9.05,fade,16.67,6,1
9.05,yoru,0.0,1,0
9.05,neon,0.0,3,0
9.05,reyna,0.0,1,0
9.06,gekko,100.0,5,5
9.06,sage,100.0,4,4
9.06,killjoy,60.0,10,6
9.06,vyse,60.0,5,3
9.06,omen,53.85,39,21
9.06,kayo,52.38,21,11
9.06,breach,52.0,25,13
9.06,jett,50.0,20,10
9.06,chamber,50.0,4,2
9.06,clove,50.0,4,2
9.06,fade,50.0,8,4
9.06,raze,50.0,6,3
9.06,brimstone,50.0,6,3
9.06,neon,48.39,31,15
9.06,sova,46.34,41,19
9.06,cypher,40.54,37,15
9.06,viper,40.0,5,2
9.06,astra,40.0,5,2
9.06,deadlock,0.0,2,0
9.06,skye,0.0,2,0
9.07,clove,100.0,2,2
9.07,chamber,80.0,5,4
9.07,raze,66.67,18,12
9.07,gekko,64.71,17,11
9.07,brimstone,61.54,13,8
9.07,iso,60.0,5,3
9.07,killjoy,59.09,22,13
9.07,jett,58.06,31,18
9.07,fade,53.85,13,7
9.07,yoru,53.33,15,8
9.07,omen,52.54,59,31
9.07,kayo,52.38,21,11
9.07,neon,45.16,31,14
9.07,sova,45.1,51,23
9.07,viper,43.75,16,7
9.07,cypher,42.86,42,18
9.07,skye,40.0,5,2
9.07,astra,36.36,11,4
9.07,breach,31.03,29,9
9.07,deadlock,0.0,3,0
9.07,sage,0.0,1,0
9.08,sage,100.0,1,1
9.08,clove,100.0,2,2
9.08,reyna,80.0,5,4
9.08,iso,66.67,12,8
9.08,yoru,56.52,23,13
9.08,fade,55.0,20,11
9.08,gekko,54.55,11,6
9.08,breach,53.06,49,26
9.08,astra,52.94,51,27
9.08,omen,52.69,93,49
9.08,killjoy,52.63,19,10
9.08,neon,52.0,50,26
9.08,skye,51.85,27,14
9.08,kayo,51.28,39,20
9.08,cypher,49.32,73,36
9.08,raze,47.06,34,16
9.08,jett,46.94,49,23
9.08,brimstone,46.67,15,7
9.08,sova,45.98,87,40
9.08,viper,42.31,26,11
9.08,phoenix,40.0,5,2
9.08,vyse,35.0,20,7
9.08,chamber,33.33,3,1
9.08,harbor,0.0,3,0
9.08,deadlock,0.0,3,0
9.09,vyse,88.89,9,8
9.09,brimstone,66.67,15,10
9.09,gekko,62.5,16,10
9.09,kayo,62.5,40,25
9.09,fade,61.11,18,11
9.09,jett,58.82,17,10
9.09,raze,53.12,32,17
9.09,cypher,52.78,72,38
9.09,breach,52.63,57,30
9.09,omen,52.56,78,41
9.09,skye,46.15,13,6
9.09,neon,45.31,64,29
9.09,sova,42.47,73,31
9.09,yoru,42.11,19,8
9.09,astra,40.0,35,14
9.09,viper,38.1,21,8
9.09,killjoy,33.33,18,6
9.09,iso,28.57,7,2
9.09,deadlock,20.0,5,1
9.09,sage,0.0,1,0
9.10,sage,100.0,2,2
9.10,chamber,100.0,2,2
9.10,phoenix,63.64,11,7
9.10,fade,61.29,31,19
9.10,gekko,60.87,23,14
9.10,harbor,60.0,5,3
9.10,cypher,54.94,162,89
9.10,brimstone,53.85,39,21
9.10,iso,53.33,15,8
9.10,kayo,52.38,84,44
9.10,raze,52.11,71,37
9.10,viper,52.0,50,26
9.10,jett,51.54,130,67
9.10,breach,51.47,68,35
9.10,sova,50.83,181,92
9.10,omen,48.67,150,73
9.10,astra,48.6,107,52
9.10,vyse,47.62,21,10
9.10,yoru,43.75,32,14
9.10,clove,42.86,14,6
9.10,skye,41.67,48,20
9.10,neon,41.67,60,25
9.10,killjoy,39.66,58,23
9.10,deadlock,27.27,22,6
9.10,reyna,0.0,4,0
9.11,fade,100.0,2,2
9.11,neon,100.0,1,1
9.11,vyse,75.0,4,3
9.11,breach,66.67,3,2
9.11,cypher,66.67,3,2
9.11,raze,60.0,5,3
9.11,sova,50.0,6,3
9.11,omen,50.0,6,3
9.11,kayo,50.0,6,3
9.11,astra,50.0,2,1
9.11,brimstone,50.0,4,2
9.11,killjoy,40.0,5,2
9.11,jett,33.33,6,2
9.11,skye,25.0,4,1
9.11,viper,0.0,2,0
9.11,yoru,0.0,1,0
nan,clove,100.0,3,3
nan,iso,100.0,2,2
nan,vyse,83.33,12,10
nan,tejo,60.87,23,14
nan,phoenix,56.32,87,49
nan,reyna,54.19,179,97
nan,sage,52.16,485,253
nan,omen,52.13,635,331
nan,cypher,52.09,478,249
nan,fade,51.19,168,86
nan,jett,50.84,1188,604
nan,raze,50.76,595,302
nan,kayo,50.11,447,224
nan,deadlock,50.0,20,10
nan,harbor,50.0,2,1
nan,sova,49.96,1201,600
nan,viper,49.51,717,355
nan,astra,49.23,715,352
nan,neon,48.51,134,65
nan,killjoy,48.4,562,272
nan,chamber,48.27,433,209
nan,breach,47.54,448,213
nan,skye,46.95,475,223
nan,brimstone,45.71,140,64
nan,yoru,40.54,37,15
nan,gekko,33.33,6,2
nan,waylay,0.0,2,0
